,,,,,,
S.No.,Sentence,Sentiment Marked Sentence,Sentence Sentiment,Analyser ,Score,Observations
,,,,,,
1,@LOVELESS101 oh you can? sweeeeeet.,@LOVELESS101 oh you can? <p>sweeeeeet</p>.,positive,negative,0.75579083,Speaker expresses positive excitement by using the word sweet as sweeeeeet. Since the spelling is incorrect the analyser fails in recognising the positive word sweet and in the absence of a positive words reports the sentence as negative. Analyser has not accounted in the various versions of writing the word sweet.
2,@TruckerDesiree Thank you very much for helping spread the word about trucker pet transport.And for telling landline mag too. *Yay*,@TruckerDesiree <p>Thank</p> you very much for helping spread the word about trucker pet transport.And for telling landline mag too. *<p>Yay</p>*,positive,positive,0.978960752,Speaker expresses positive sentiments by using thank and the word yay to express her positive gratitude which the analyser has correctly accounted for. Also the word such as yay and word written in the format ***text ***  should be given special attention because more often then not they express the mood of the speaker.
3,I guess @letterstoshane is cool....follow him!!!,I guess @letterstoshane is <p>cool</p>....follow him!!!,positive,positive,0.998455703,Speaker expresses positive sentiments by using cool which had been correctively identified by the analyser. 
4,"@Antwoinne Hey babe, nothing much tryin to see what imma do at work today lol, look like the load isnt so bad.","@Antwoinne Hey babe, nothing much tryin to see what imma do at work today lol, look like the load isnt so <n>bad</n>.",positive,negative,0.999279022,speaker expresses positive sentiments by expressing the work isn’t so bad. The analyser may have misinterpreted the sentence as negative by identifying bad as a negative word and has failed in accouting that the negative (here isn't) of a negative word (here bad) gives a net positive sentiment (here isn't so bad which implies good).
5,watching gossip girl....10 episodes late.,watching gossip girl....10 episodes late.,neutral,negative,0.997299731,without context it seem unclear what the sentiment of the user is and he is just stating a fact. The analyser might on seeing the word late inferred a negative meaning because often late is used in a sense as being late. So same word is often positive or negative depending upon context in sentence.
6,@poopakoopa I didn't know it could be used as a verb too. I learned it.,@poopakoopa I didn't know it could be used as a verb too. I learned it.,positive,positive,0.732460558,speaker expresses positive sentiment in learning something. Often the word learned expresses positive sentiment therefore leading the analyser to believe the sentence as positive and since it is also kind of neutral positive the score shown is also around 0.73 indicating this ambiguity.
7,famliy  going bck homee and have too taKE sister hores riding <n>oh no</n> gonna be a <n>boring</n> day,famliy  going bck homee and have too taKE sister hores riding <n>oh no</n> gonna be a <n>boring</n> day,negative,negative,0.992501736,speaker expresses negative sentiments by using words such as oh no and boring which the analyser has correctly accounted for.
8, i'm soooo tired i have to study for all of my subjects ..... history is gonna be SO hard!!!! &gt;.&lt; help me!,i'm soooo <n>tired</n> i have to study for all of my subjects ..... history is gonna be SO <n>hard</n>!!!! <n> >.< </n>  help me!,negative,negative,0.999632657,speaker expresses negative sentiment and frustation by words such as tired and hard which the analyser has correctly accounted for . Another interesting observation is that the speaker has expressed frustation by using the emoji  >.<  in text format. Such emojis often easily convey the sentiment of the speaker. 
9,@Judy_RN Thanks for the followfriday recommendation!,@Judy_RN <p>Thanks</p> for the followfriday recommendation!,positive,positive,0.996618986,Speaker expresses positive gratitude by the word thanks which the analyser has correctly accounted for.
10,my night is full of cute statements,my night is full of <p>cute</p>  statements,positive,positive,0.999612033,Speaker expresses positive  sentiments by the word cute which the analyser has correctly accounted for.
11,is en-route to emirates for capital fm's summertime ball  even if it is rainy it's allll good ponchos at the ready!! Woop woop  xx,is en-route to emirates for capital fm's summertime ball  even if it is rainy it's allll <p>good</p> ponchos at the ready!! <p>Woop</p> <p>woop</p>  xx,positive,positive,0.996933758,Speaker expresses positive sentiments by using goog  and the word woop woop to express her positive gratitude which the analyser has correctly accounted for. 
12,asks whats on tap for you today? I have an artisan friend coming over so I can get her online!  http://plurk.com/p/11edct,asks whats on tap for you today? I have an artisan friend coming over so I can get her online!  http://plurk.com/p/11edct,positive,negative,0.76551646,From the context it seems as if the speaker is excited about her artisian friend coming over. Situations such as a friend coming over and an ! often indicates a positive sentiment. The analyser falis in infering sentiment based from context of sentence.
13,I just relized; Owl City's music warms my heart.,I just relized; Owl City's music  <p>warms my heart</p>.,positive,positive,0.999850273,speaker expresses positive sentiment by using the phrase warms my heart which the analyser has correctly accounted for.
14,http://twitpic.com/6cwst - Session of photoss!!,http://twitpic.com/6cwst - Session of photoss!!,positive,negative,0.994697928,From the words alone there is no positive indication might be the reason the analyser infers it as a negative sentence. The sentence itself is neutral but the many exclamation marks after the word photos makes it a positive sentence as it expresses the speaker's excitement. An important observation here is that punctutuion such as exclamation marks often contribute in conveying the sentiment of a sentence.
15,@kaaathryn  - is the actually song out of that yet or is it still just the demo?,@kaaathryn  - is the actually song out of that yet or is it still just the demo?,neutral,negative,0.998755634,Speaker expresses a query which is a neutral sentiment. The lack of positive word might have led the analyser to believe that the sentence is negative.
16,@half_korean I KNOW!! i was rooting for a happy ending,@half_korean I KNOW!! i was rooting for a <p>happy</p> ending,negative,positive,0.993135452,speaker expresses negative frustation as something happened against his expectations which is only from context understood and even if positive word happy is present the sentence isnt neccesarily positive.
